Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
LODE,"Comstock Mining, Inc.",0.76,$68.2M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode
CTO,Consolidated-Tomoka Land Co.,59.15,$347.04M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cto
MCF,Contango Oil & Gas Company,25.37,$491.55M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf
CUO,Continental Materials Corporation,17.3,$28.55M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cuo
CMT,Core Molding Technologies Inc,14.5,$111.22M,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/cmt
CRMD,CorMedix Inc,4.63,$103.63M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crmd
CRMD/WS,CorMedix Inc,1.2499,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crmd/ws
CFP,Cornerstone Progressive Return Fund,15.36,$251.39M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfp
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",21.71,$95.96M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crf
CLM,"Cornerstone Strategic Value Fund, Inc.",21.77,$44.13M,1987,n/a,n/a,http://www.nasdaq.com/symbol/clm
COVR,Cover-All Technologies Inc.,1.095,$29.17M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/covr
CVU,"CPI Aerostructures, Inc.",11.87,$100.69M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/cvu
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.2168,$168.05M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cik
DHY,Credit Suisse High Yield Bond Fund,2.8,$278.65M,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhy
CRVP,"Crystal Rock Holdings, Inc.",0.74,$15.81M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/crvp
CTP,CTPartners Executive Search Inc.,6.71,$48.72M,2010,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ctp
CVSL,CVSL Inc.,5.8799,$143.46M,2014,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/cvsl
DAKP,"Dakota Plains Holdings, Inc.",1.77,$97.2M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/dakp
DXR,Daxor Corporation,6.05,$24.41M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxr
DEJ,Dejour Energy Inc.,0.1685,$30.73M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dej
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",14.65,$70.86M,1993,n/a,n/a,http://www.nasdaq.com/symbol/vcf
VFL,Delaware Investments Florida Insured Municipal Income Fund,13.02,$58.96M,1993,n/a,n/a,http://www.nasdaq.com/symbol/vfl
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",13.844,$159.27M,1993,n/a,n/a,http://www.nasdaq.com/symbol/vmm
DLA,"Delta Apparel, Inc.",8.85,$69.84M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dla
DNN,Denison Mine Corp,0.9042,$457.41M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/dnn
DGSE,"DGSE Companies, Inc.",1.5,$18.34M,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/dgse
DPW,Digital Power Corporation,1.0297,$6.98M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dpw
DSS,"Document Security Systems, Inc.",0.4366,$18.43M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dss
DMF,"Dreyfus Municipal Income, Inc.",9.42,$195.13M,1988,n/a,n/a,http://www.nasdaq.com/symbol/dmf
GRF,"Eagle Capital Growth Fund, Inc.",7.98,$24.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grf
ESTE,"Earthstone Energy, Inc.",28.14,$388.87M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/este
EVM,Eaton Vance California Municipal Bond Fund,11.95,$255.71M,2002,n/a,n/a,http://www.nasdaq.com/symbol/evm
EIA,Eaton Vance California Municipal Bond Fund II,13.09,$50.86M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eia
CEV,Eaton Vance California Municipal Income Trust,13.06,$94.74M,1999,n/a,n/a,http://www.nasdaq.com/symbol/cev
EVV,Eaton Vance Limited Duration Income Fund,14.22,$1.67B,2003,n/a,n/a,http://www.nasdaq.com/symbol/evv
MAB,Eaton Vance Massachusetts Municipal Bond Fund,14.74,$26.07M,2002,n/a,n/a,http://www.nasdaq.com/symbol/mab
MMV,Eaton Vance Massachusetts Municipal Income Trust,13.79,$37.82M,1999,n/a,n/a,http://www.nasdaq.com/symbol/mmv
MIW,Eaton Vance Michigan Municipal Bond Fund,13.67,$20.7M,2002,n/a,n/a,http://www.nasdaq.com/symbol/miw
EMI,Eaton Vance Michigan Municipal Income Trust,12.9,$26.87M,1999,n/a,n/a,http://www.nasdaq.com/symbol/emi
EIM,Eaton Vance Municipal Bond Fund,12.8,$872.55M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eim
EIV,Eaton Vance Municipal Bond Fund II,12.6832,$127M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eiv
EMJ,Eaton Vance New Jersey Municipal Bond Fund,12.94,$33.76M,2002,n/a,n/a,http://www.nasdaq.com/symbol/emj
EVJ,Eaton Vance New Jersey Municipal Income Trust,12.57,$58.65M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evj
ENX,Eaton Vance New York Municipal Bond Fund,12.71,$199.31M,2002,n/a,n/a,http://www.nasdaq.com/symbol/enx
NYH,Eaton Vance New York Municipal Bond Fund II,12.15,$31.19M,2002,n/a,n/a,http://www.nasdaq.com/symbol/nyh
EVY,Eaton Vance New York Municipal Income Trust,13.54,$74.14M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evy
EIO,Eaton Vance Ohio Municipal Bond Fund,13.3,$33.74M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eio
EVO,Eaton Vance Ohio Municipal Income Trust,14.016,$40.05M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evo
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,12.85,$38.04M,2002,n/a,n/a,http://www.nasdaq.com/symbol/eip
EVP,Eaton Vance Pennsylvania Municipal Income Trust,12.38,$33.41M,1999,n/a,n/a,http://www.nasdaq.com/symbol/evp
ELMD,"Electromed, Inc.",2.319,$18.86M,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elmd
ETAK,Elephant Talk Communications Corp.,0.6983,$105.97M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/etak
ELLO,Ellomay Capital Ltd.,8.9,$95.23M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ello
ECF,Ellsworth Growth and Income Fund Ltd.,8.69,$114.19M,1986,n/a,n/a,http://www.nasdaq.com/symbol/ecf
EMAN,eMagin Corporation,3.21,$80.32M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman
EOX,"Emerald Oil, Inc.",1.18,$123.59M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eox
MSN,Emerson Radio Corporation,1.34,$36.35M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/msn
UUUU,Energy Fuels Inc,4.95,$97.43M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uuuu
ENRJ,"EnerJex Resources, Inc.",2.83,$21.63M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/enrj
ENRJ^,"EnerJex Resources, Inc.",19.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/enrj^
ENSV,ENSERVCO Corporation,2.2,$81.52M,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv
EGI,Entree Gold Inc,0.162,$23.81M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/egi
EVI,"EnviroStarm, Inc.",2.35,$16.53M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evi
ERB,"ERBA Diagnostics, Inc.",3.49,$153.59M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/erb
ESP,Espey Mfg. & Electronics Corp.,30.621,$72.21M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esp
EMXX,Eurasian Minerals Inc.,0.7299,$53.59M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/emxx
EVBN,"Evans Bancorp, Inc.",23.73,$99.42M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbn
EPM,"Evolution Petroleum Corporation, Inc.",6.48,$212.93M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm
EPM^A,"Evolution Petroleum Corporation, Inc.",26.58,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/epm^a
XRA,Exeter Resource Corporation,0.51,$45.09M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/xra
FPI,Farmland Partners Inc.,11.26,$87.06M,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fpi
FPP,FieldPoint Petroleum Corporation,2.04,$16.58M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp
FPP/WS,FieldPoint Petroleum Corporation,0.24,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpp/ws
FEN,First Trust Energy Income and Growth Fund,35.79,$692.72M,2004,n/a,n/a,http://www.nasdaq.com/symbol/fen
FWV,"First West Virginia Bancorp, Inc.",21.8,$37.69M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fwv
BDL,"Flanigan&#39;s Enterprises, Inc.",33,$61.34M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bdl
FSI,Flexible Solutions International Inc.,1.13,$14.88M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fsi
FTF,Franklin Limited Duration Income Trust,12.27,$329.27M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ftf
FSP,Franklin Street Properties Corp.,12.68,$1.27B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fsp
FRD,Friedman Industries Inc.,6.32,$42.97M,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/frd
FRS,"Frisch&#39;s Restaurants, Inc.",27.4,$140.23M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/frs
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",7.46,$803.38M,2005,n/a,n/a,http://www.nasdaq.com/symbol/ggn
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",22.44,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn^b
EGAS,Gas Natural Inc.,10.1,$105.92M,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/egas
GST,Gastar Exploration Inc.,3.06,$241.32M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst
GST^A,Gastar Exploration Inc.,21.48,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^a
GST^B,Gastar Exploration Inc.,24.48,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^b
JOB,"General Employment Enterprises, Inc.",0.675,$17.48M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/job
GMO,"General Moly, Inc",0.45,$40.92M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo
GIG,"GigOptix, Inc.",1.16,$38.12M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/gig
GSB,"GlobalSCAPE, Inc.",3.2956,$69.1M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gsb
GSAT,"Globalstar, Inc.",2.6,$2.25B,2006,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gsat
GLOW,"Glowpoint, Inc.",1.04,$37.24M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/glow
GORO,Gold Resource Corporation,3.39,$183.67M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,0.489,$69.82M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/gsv
AUMN,Golden Minerals Company,0.54,$28.63M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aumn
GSS,"Golden Star Resources, Ltd",0.3066,$79.56M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gss
GV,Goldfield Corporation (The),2.54,$64.65M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/gv
GRC,Gorman-Rupp Company (The),28.67,$752.89M,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/grc
GTE,Gran Tierra Energy Inc.,2.61,$720.55M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gte
GPL,Great Panther Silver Limited,0.62,$86.53M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gpl
GRH,"GreenHunter Resources, Inc.",0.73,$25.9M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/grh
GRH^C,"GreenHunter Resources, Inc.",19.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grh^c
SIM,"Grupo Simec, S.A. de C.V.",8.28,$1.37B,1993,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/sim
GVP,"GSE Systems, Inc.",1.56,$27.91M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gvp
HCHC,"HC2 Holdings, Inc.",7.36,$175.28M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/hchc
HEB,"Hemispherx BioPharma, Inc.",0.24,$48.01M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/heb
HLM^,Hillman Group Capital Trust,31.965,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hlm^
HMG,"HMG/Courtland Properties, Inc.",12.16,$12.75M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hmg
HH,"Hooper Holmes, Inc.",0.583,$41.32M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hh
HUSA,Houston American Energy Corporation,0.24,$12.52M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/husa
IBIO,"iBio, Inc.",0.9301,$66.88M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ibio
IBO,IBO (Listing Market - NYSE Amex Network B F),153.82,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibo
IEC,IEC Electronics Corp.,4.3,$43.61M,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/iec
IG,"IGI Laboratories, Inc.",10.81,$570.64M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ig
IMUC,"ImmunoCellular Therapeutics, Ltd.",0.556,$35.92M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imuc
IMH,"Impac Mortgage Holdings, Inc.",9.97,$95.59M,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/imh
IMO,Imperial Oil Limited,38.71,$32.81B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/imo
IOT,"Income Opportunity Realty Investors, Inc.",6.5,$27.09M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/iot
IRT,"Independence Realty Trust, Inc.",9.35,$241.24M,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/irt
IGC,India Globalization Capital Inc.,0.51,$7.67M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/igc
IGC/WS,India Globalization Capital Inc.,0.01,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/igc/ws
INFU,"InfuSystems Holdings, Inc.",2.65,$59.05M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/infu
IHT,InnSuites Hospitality Trust,2.95,$24.42M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/iht
NSPR,"InspireMD, Inc.",0.62,$26.29M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nspr
IFMI,"Institutional Financial Markets, Inc.",1.62,$24.55M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ifmi
IDN,"Intellicheck Mobilisa, Inc.",1.47,$14.39M,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/idn
INS,Intelligent Systems Corporation,1.997,$17.89M,1992,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/ins
THM,International Tower Hill Mines Ltd,0.4175,$48.56M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/thm
INTT,inTest Corporation,4.16,$43.94M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/intt
INUV,"Inuvo, Inc",1.36,$32.9M,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/inuv
VKI,Invesco Advantage Municipal Income Trust II,11.71,$519.7M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vki
ISR,"IsoRay, Inc.",1.4,$76.84M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/isr
ISDR,Issuer Direct Corporation,11.63,$24.27M,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/isdr
ITI,"Iteris, Inc.",1.8184,$59.2M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/iti
KIQ,Kelso Technologies Inc,4.1901,$189.59M,n/a,Capital Goods,Railroads,http://www.nasdaq.com/symbol/kiq
LTS,Ladenburg Thalmann Financial Services Inc,3.96,$733.92M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/lts
LTS^A,Ladenburg Thalmann Financial Services Inc,24,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lts^a
LSG,Lake Shore Gold Corp,0.88,$383.18M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lsg
LAQ,"Latin America Equity Fund, Inc. (The)",21.65,$161.26M,1991,n/a,n/a,http://www.nasdaq.com/symbol/laq
LGL,"LGL Group, Inc. (The)",4,$10.38M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lgl
LGL/WS,"LGL Group, Inc. (The)",0.006,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lgl/ws
LBY,"Libbey, Inc.",36.81,$797.51M,1993,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lby
LBMH,"Liberator Medical Holdings, Inc.",3.65,$194.06M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/lbmh
LIQT,"LiqTech International, Inc.",1.0588,$41.62M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/liqt
LEI,"Lucas Energy, Inc.",0.269,$9.42M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lei
MCZ,Mad Catz Interactive Inc,0.3551,$22.9M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/mcz
MVG,Mag Silver Corporation,6.54,$450.35M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mvg
MHR^C,Magnum Hunter Resources Corporation,22.75,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mhr^c
MHR^D,Magnum Hunter Resources Corporation,38,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mhr^d
MHR^E,Magnum Hunter Resources Corporation,19.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mhr^e
MSTX,"Mast Therapeutics, Inc.",0.4962,$63.77M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mstx
MHH,"Mastech Holdings, Inc",9.42,$40.57M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/mhh
MDGN,"Medgenics, Inc.",7.55,$187.56M,2011,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/mdgn
MDGN/WS,"Medgenics, Inc.",2.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mdgn/ws
IPB,"Merrill Lynch & Co., Inc.",27.66,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ipb
